open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,datetime
1672531200000,0.24570,0.2458,0.2446,0.2448,8681108,1672532099999,2128051.85270,3013,3489990,855617.13520,0,2023-01-01 00:00:00
1672532100000,0.24490,0.2453,0.2444,0.245,6690426,1672532999999,1638184.07950,2205,3210080,786108.25590,0,2023-01-01 00:15:00
1672533000000,0.24500,0.2451,0.2439,0.2442,8707557,1672533899999,2127529.10810,2619,3669209,896547.10930,0,2023-01-01 00:30:00
1672533900000,0.24410,0.2447,0.2441,0.2445,2835290,1672534799999,693293.79680,1255,1549110,378780.70460,0,2023-01-01 00:45:00
1672534800000,0.24440,0.2447,0.2442,0.2444,5004842,1672535699999,1223416.97890,1428,2040243,498774.33090,0,2023-01-01 01:00:00
1672535700000,0.24440,0.2447,0.2443,0.2446,2341272,1672536599999,572489.60140,979,1307232,319659.73710,0,2023-01-01 01:15:00
1672536600000,0.24460,0.2449,0.2442,0.2447,3696677,1672537499999,903996.28890,1425,1769937,432884.41420,0,2023-01-01 01:30:00
1672537500000,0.24470,0.2455,0.2447,0.2452,2869942,1672538399999,703420.89030,1405,1545875,378899.83870,0,2023-01-01 01:45:00
1672538400000,0.24510,0.2458,0.2447,0.2458,4725603,1672539299999,1158730.35470,1716,2560072,627824.68180,0,2023-01-01 02:00:00
1672539300000,0.24580,0.2459,0.2455,0.2457,2123066,1672540199999,521552.88290,1303,1127040,276856.07140,0,2023-01-01 02:15:00
1672540200000,0.24580,0.2461,0.2457,0.2457,2708790,1672541099999,666063.09240,1357,1718339,422562.81780,0,2023-01-01 02:30:00
1672541100000,0.24570,0.2459,0.2453,0.2454,2604847,1672541999999,639701.94980,1170,694583,170597.67200,0,2023-01-01 02:45:00
1672542000000,0.24550,0.2456,0.2452,0.2454,3759591,1672542899999,922574.83960,1323,1438657,353037.83780,0,2023-01-01 03:00:00
1672542900000,0.24530,0.2454,0.2449,0.2451,3148524,1672543799999,771714.74710,1263,1259812,308764.59890,0,2023-01-01 03:15:00
