open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,datetime
1672531200000,10.9030,10.904,10.811,10.838,189270,1672534799999,2055060.3990,5706,73907,802389.8610,0,2023-01-01 00:00:00
1672534800000,10.8380,10.856,10.816,10.841,97053,1672538399999,1051654.7850,3545,51617,559326.2130,0,2023-01-01 01:00:00
1672538400000,10.8400,10.878,10.816,10.839,94503,1672541999999,1025112.9640,3309,50753,550583.4450,0,2023-01-01 02:00:00
1672542000000,10.8390,10.84,10.79,10.815,144344,1672545599999,1560494.3090,4453,63401,685434.7680,0,2023-01-01 03:00:00
1672545600000,10.8150,10.815,10.695,10.734,271793,1672549199999,2922080.0370,7094,103169,1108553.0910,0,2023-01-01 04:00:00
1672549200000,10.7330,10.749,10.692,10.733,250091,1672552799999,2680675.3630,6281,123734,1326344.9820,0,2023-01-01 05:00:00
1672552800000,10.7330,10.763,10.728,10.734,127096,1672556399999,1365465.8720,3790,58063,623826.8130,0,2023-01-01 06:00:00
1672556400000,10.7340,10.737,10.677,10.704,271719,1672559999999,2907789.7760,5851,142325,1522904.1970,0,2023-01-01 07:00:00
1672560000000,10.7040,10.704,10.654,10.665,204922,1672563599999,2187878.2870,5230,91108,972756.8220,0,2023-01-01 08:00:00
1672563600000,10.6650,10.71,10.64,10.705,222635,1672567199999,2376897.7240,5688,112170,1197627.5290,0,2023-01-01 09:00:00
1672567200000,10.7030,10.704,10.659,10.688,161604,1672570799999,1725585.0810,4040,79865,852758.8890,0,2023-01-01 10:00:00
1672570800000,10.6880,10.75,10.677,10.745,279463,1672574399999,2996434.5570,6021,166622,1786351.7120,0,2023-01-01 11:00:00
1672574400000,10.7450,10.765,10.72,10.762,163388,1672577999999,1755543.9370,4603,93571,1005498.2630,0,2023-01-01 12:00:00
1672578000000,10.7630,10.768,10.711,10.724,155638,1672581599999,1671532.3880,4034,66434,713474.5060,0,2023-01-01 13:00:00
1672581600000,10.7240,10.77,10.714,10.737,160328,1672585199999,1722215.9070,3875,79868,858094.8960,0,2023-01-01 14:00:00
1672585200000,10.7360,10.76,10.71,10.759,172598,1672588799999,1852925.6760,4030,86801,932069.3620,0,2023-01-01 15:00:00
1672588800000,10.7600,10.767,10.735,10.757,109412,1672592399999,1176400.9680,3418,57102,613966.2860,0,2023-01-01 16:00:00
1672592400000,10.7580,10.837,10.754,10.828,255735,1672595999999,2760755.7120,5827,163991,1770353.6080,0,2023-01-01 17:00:00
1672596000000,10.8260,10.869,10.821,10.851,270439,1672599599999,2934438.8490,5828,151368,1642310.9670,0,2023-01-01 18:00:00
1672599600000,10.8520,10.901,10.852,10.88,195932,1672603199999,2131419.6570,4938,101484,1103960.9940,0,2023-01-01 19:00:00
1672603200000,10.8810,10.931,10.869,10.872,239729,1672606799999,2614391.0560,5829,112205,1223829.3240,0,2023-01-01 20:00:00
1672606800000,10.8720,10.897,10.845,10.868,156439,1672610399999,1699950.9730,4441,67323,731652.5940,0,2023-01-01 21:00:00
1672610400000,10.8670,10.904,10.84,10.889,239902,1672613999999,2607254.9060,6071,119970,1303992.0440,0,2023-01-01 22:00:00
1672614000000,10.8890,10.92,10.839,10.86,584575,1672617599999,6363864.7260,9229,318857,3471274.2930,0,2023-01-01 23:00:00
1672617600000,10.8600,10.885,10.793,10.804,199353,1672621199999,2158971.2840,5879,90165,976064.1820,0,2023-01-02 00:00:00
1672621200000,10.8040,10.808,10.695,10.734,448135,1672624799999,4813832.1840,10238,196392,2109082.6810,0,2023-01-02 01:00:00
1672624800000,10.7330,10.782,10.725,10.767,115519,1672628399999,1242240.7260,3020,70877,762117.4540,0,2023-01-02 02:00:00
