open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,datetime
1672531200000,246.110,246.17,245.71,245.82,8019.11,1672532099999,1972240.55500,2787,3622.48,890891.81680,0,2023-01-01 00:00:00
1672532100000,245.810,246.56,245.67,246.52,8447.33,1672532999999,2079806.70800,2699,5800.59,1428195.09910,0,2023-01-01 00:15:00
1672533000000,246.530,246.59,245.61,245.62,11457.36,1672533899999,2819190.04110,2963,3214.10,791083.76490,0,2023-01-01 00:30:00
1672533900000,245.610,245.92,245.27,245.58,26903.99,1672534799999,6606701.68000,6291,11088.75,2723243.31420,0,2023-01-01 00:45:00
1672534800000,245.570,245.86,245.43,245.74,7282.24,1672535699999,1788732.68160,2608,3636.24,893144.19490,0,2023-01-01 01:00:00
1672535700000,245.730,245.84,245.5,245.68,7170.57,1672536599999,1761602.87170,1725,4606.77,1131735.64930,0,2023-01-01 01:15:00
1672536600000,245.680,245.69,245.34,245.45,5065.60,1672537499999,1243683.47600,1976,2078.36,510230.38330,0,2023-01-01 01:30:00
1672537500000,245.440,245.88,245.42,245.82,6375.90,1672538399999,1566382.47460,1968,2941.89,722721.20000,0,2023-01-01 01:45:00
1672538400000,245.810,245.81,245.27,245.57,6775.70,1672539299999,1663285.07230,2425,3023.39,742183.10820,0,2023-01-01 02:00:00
1672539300000,245.580,245.65,245.33,245.6,5576.98,1672540199999,1369209.19100,1674,2581.10,633683.57490,0,2023-01-01 02:15:00
1672540200000,245.590,245.8,245.38,245.38,4620.04,1672541099999,1134612.57350,2198,2231.04,547932.17150,0,2023-01-01 02:30:00
1672541100000,245.380,245.4,245.11,245.31,7837.09,1672541999999,1922129.19420,2714,3358.28,823655.83350,0,2023-01-01 02:45:00
1672542000000,245.300,245.47,245.06,245.39,10416.90,1672542899999,2554681.26960,3170,5967.17,1463474.46230,0,2023-01-01 03:00:00
1672542900000,245.390,245.4,245.02,245.17,5330.16,1672543799999,1306722.08020,2013,2521.01,618047.02810,0,2023-01-01 03:15:00
1672543800000,245.170,245.25,245.08,245.2,5891.53,1672544699999,1444396.90850,2053,2936.87,719990.41950,0,2023-01-01 03:30:00
1672544700000,245.200,245.35,245.1,245.15,7397.12,1672545599999,1813894.63000,1925,3998.41,980537.26490,0,2023-01-01 03:45:00
1672545600000,245.150,245.22,244.51,244.6,16567.24,1672546499999,4056932.54320,5081,5426.58,1328799.38590,0,2023-01-01 04:00:00
1672546500000,244.600,244.84,244.52,244.56,8642.17,1672547399999,2114111.14080,2583,4467.10,1092769.36460,0,2023-01-01 04:15:00
1672547400000,244.550,244.55,244.0,244.01,21970.37,1672548299999,5365998.08720,6494,9310.32,2273914.20610,0,2023-01-01 04:30:00
1672548300000,244.020,244.2,243.5,243.67,27962.25,1672549199999,6818930.52090,6647,13436.31,3276730.27910,0,2023-01-01 04:45:00
1672549200000,243.670,243.93,243.3,243.74,24192.94,1672550099999,5893388.02710,6237,12343.27,3007137.78190,0,2023-01-01 05:00:00
1672550100000,243.750,244.31,243.69,244.25,15079.62,1672550999999,3679260.29390,3828,9861.51,2406133.94800,0,2023-01-01 05:15:00
1672551000000,244.240,244.25,243.81,243.99,12133.55,1672551899999,2960667.80840,3220,5573.99,1360041.19050,0,2023-01-01 05:30:00
1672551900000,243.990,244.07,243.71,244.02,9466.42,1672552799999,2308963.17320,2821,4314.31,1052438.20320,0,2023-01-01 05:45:00
1672552800000,244.020,244.28,243.84,244.08,9891.89,1672553699999,2414568.15770,3264,5534.87,1351028.20490,0,2023-01-01 06:00:00
1672553700000,244.090,244.33,244.04,244.21,9027.92,1672554599999,2204456.76810,3078,3887.72,949361.07490,0,2023-01-01 06:15:00
1672554600000,244.200,244.23,243.82,244.0,6393.48,1672555499999,1560004.18500,2258,2539.43,619599.33510,0,2023-01-01 06:30:00
1672555500000,244.000,244.05,243.81,243.84,4935.80,1672556399999,1203936.46530,2109,1856.71,452907.88240,0,2023-01-01 06:45:00
1672556400000,243.840,243.99,243.62,243.82,10824.84,1672557299999,2639058.97280,2960,5554.53,1354211.57860,0,2023-01-01 07:00:00
1672557300000,243.810,243.94,243.6,243.92,8754.84,1672558199999,2133710.45420,2719,4228.12,1030535.40940,0,2023-01-01 07:15:00
1672558200000,243.920,244.16,243.78,244.14,8760.68,1672559099999,2137639.73630,2498,5312.57,1296213.74600,0,2023-01-01 07:30:00
1672559100000,244.150,244.15,243.88,243.91,5991.62,1672559999999,1462081.52460,1950,1836.41,448114.49830,0,2023-01-01 07:45:00
1672560000000,243.910,243.99,243.73,243.76,5569.09,1672560899999,1357986.71560,2460,2214.40,539990.35440,0,2023-01-01 08:00:00
1672560900000,243.760,243.93,243.61,243.92,8973.20,1672561799999,2187302.15830,2633,4338.17,1057557.16630,0,2023-01-01 08:15:00
1672561800000,243.910,243.91,243.6,243.66,4353.13,1672562699999,1061175.58900,1759,1812.11,441759.01350,0,2023-01-01 08:30:00
1672562700000,243.660,243.76,243.25,243.44,11804.79,1672563599999,2874596.35360,3364,5469.50,1331950.97960,0,2023-01-01 08:45:00
1672563600000,243.430,243.55,243.32,243.54,7491.03,1672564499999,1823488.21050,2522,3811.96,927951.16910,0,2023-01-01 09:00:00
1672564500000,243.530,243.85,243.49,243.75,7240.18,1672565399999,1764372.96480,2155,4857.06,1183624.10910,0,2023-01-01 09:15:00
1672565400000,243.750,244.13,243.7,244.09,8510.95,1672566299999,2076456.57710,2592,4994.07,1218414.14590,0,2023-01-01 09:30:00
1672566300000,244.100,244.38,243.96,244.35,10413.64,1672567199999,2543161.19330,3091,6335.24,1547228.44130,0,2023-01-01 09:45:00
1672567200000,244.360,244.38,243.98,244.16,8327.49,1672568099999,2033436.04960,2676,3761.78,918570.88310,0,2023-01-01 10:00:00
1672568100000,244.160,244.25,244.02,244.2,3523.81,1672568999999,860370.74040,1672,1798.74,439192.52520,0,2023-01-01 10:15:00
1672569000000,244.190,244.2,243.88,243.99,5218.70,1672569899999,1273559.39100,1707,2766.38,675084.60220,0,2023-01-01 10:30:00
1672569900000,243.990,244.3,243.93,244.28,3652.62,1672570799999,891512.15510,1456,2319.19,566083.85230,0,2023-01-01 10:45:00
1672570800000,244.280,244.54,244.1,244.36,9132.72,1672571699999,2231116.71220,2921,5207.53,1272273.36900,0,2023-01-01 11:00:00
1672571700000,244.370,244.37,244.08,244.11,5592.20,1672572599999,1365749.22290,2039,2189.25,534689.83420,0,2023-01-01 11:15:00
1672572600000,244.110,244.28,244.09,244.22,3439.42,1672573499999,839887.75490,1370,2172.18,530436.87740,0,2023-01-01 11:30:00
1672573500000,244.210,244.34,244.1,244.3,5080.74,1672574399999,1240704.18920,1675,2451.90,598782.16850,0,2023-01-01 11:45:00
1672574400000,244.300,244.37,244.0,244.28,8154.51,1672575299999,1990961.82530,2699,2666.68,651136.32520,0,2023-01-01 12:00:00
1672575300000,244.270,244.53,244.26,244.48,6093.41,1672576199999,1489142.90280,2209,3110.48,760141.55030,0,2023-01-01 12:15:00
1672576200000,244.490,244.5,244.27,244.33,2399.54,1672577099999,586328.44540,1373,862.17,210672.63700,0,2023-01-01 12:30:00
1672577100000,244.340,244.56,244.11,244.19,6584.31,1672577999999,1609090.02110,2314,3464.93,846840.19720,0,2023-01-01 12:45:00
1672578000000,244.200,244.45,244.19,244.37,5332.43,1672578899999,1303025.80300,2171,2727.12,666380.44820,0,2023-01-01 13:00:00
1672578900000,244.360,244.36,243.99,244.14,8298.83,1672579799999,2026315.72080,2582,2769.32,676129.34850,0,2023-01-01 13:15:00
1672579800000,244.150,244.23,243.84,243.87,12030.93,1672580699999,2935993.94710,3254,5778.08,1410098.90980,0,2023-01-01 13:30:00
1672580700000,243.860,244.23,243.85,244.13,5506.15,1672581599999,1343618.88940,1995,4295.05,1048070.92420,0,2023-01-01 13:45:00
1672581600000,244.130,244.19,243.97,244.17,4158.62,1672582499999,1015158.29560,1953,1921.37,469019.87530,0,2023-01-01 14:00:00
1672582500000,244.180,244.31,244.12,244.25,4817.21,1672583399999,1176355.06260,1620,2477.78,605079.19650,0,2023-01-01 14:15:00
1672583400000,244.260,244.34,244.06,244.08,3801.15,1672584299999,928301.31460,1757,1575.40,384759.84890,0,2023-01-01 14:30:00
1672584300000,244.080,244.19,243.89,243.93,6479.53,1672585199999,1581033.05390,1823,3296.02,804273.49560,0,2023-01-01 14:45:00
1672585200000,243.920,244.26,243.92,244.24,8837.11,1672586099999,2156952.71730,1977,6097.42,1488149.24870,0,2023-01-01 15:00:00
1672586100000,244.240,244.25,244.0,244.13,4710.99,1672586999999,1150009.37330,1536,1912.09,466740.88780,0,2023-01-01 15:15:00
1672587000000,244.140,244.32,244.13,244.3,2300.54,1672587899999,561908.50250,1364,1475.53,360392.63520,0,2023-01-01 15:30:00
1672587900000,244.300,244.67,244.13,244.48,7972.61,1672588799999,1948733.77840,2519,4225.50,1032797.44090,0,2023-01-01 15:45:00
1672588800000,244.490,244.69,244.26,244.5,8991.50,1672589699999,2198371.18270,3000,4719.49,1153956.07610,0,2023-01-01 16:00:00
1672589700000,244.490,244.82,244.49,244.68,8943.03,1672590599999,2188351.42450,2639,4798.24,1174153.69670,0,2023-01-01 16:15:00
1672590600000,244.680,244.98,244.58,244.61,8538.39,1672591499999,2089874.85060,2820,4415.28,1080767.91810,0,2023-01-01 16:30:00
1672591500000,244.610,244.96,244.54,244.8,6931.03,1672592399999,1696395.85090,2133,4249.82,1040187.03550,0,2023-01-01 16:45:00
1672592400000,244.800,245.11,244.74,244.98,8771.88,1672593299999,2148556.93330,3124,5414.48,1326223.08410,0,2023-01-01 17:00:00
1672593300000,244.980,245.45,244.88,245.02,16239.15,1672594199999,3982013.99570,4336,8890.49,2180173.62190,0,2023-01-01 17:15:00
1672594200000,245.030,245.2,244.91,244.92,7670.19,1672595099999,1879704.97440,2436,3822.21,936685.71730,0,2023-01-01 17:30:00
1672595100000,244.920,245.49,244.85,245.34,10383.44,1672595999999,2545412.59670,2833,7696.69,1886763.36690,0,2023-01-01 17:45:00
1672596000000,245.340,245.65,245.34,245.43,12209.08,1672596899999,2997382.01740,4277,6545.06,1606838.01860,0,2023-01-01 18:00:00
1672596900000,245.440,245.46,245.2,245.29,5686.29,1672597799999,1394805.79430,2140,2267.93,556299.81830,0,2023-01-01 18:15:00
1672597800000,245.300,245.4,245.09,245.27,6457.47,1672598699999,1583697.45540,2168,2913.07,714438.11510,0,2023-01-01 18:30:00
1672598700000,245.260,245.26,244.68,244.73,10461.04,1672599599999,2561509.95120,3215,3686.53,902637.63480,0,2023-01-01 18:45:00
1672599600000,244.730,245.14,244.72,245.14,4257.98,1672600499999,1042961.48270,1990,2814.66,689433.80190,0,2023-01-01 19:00:00
1672600500000,245.140,245.59,245.13,245.48,11504.50,1672601399999,2823955.03770,2666,4479.23,1099250.19960,0,2023-01-01 19:15:00
1672601400000,245.490,245.63,245.22,245.22,6084.40,1672602299999,1493246.04730,1842,3231.10,793042.89200,0,2023-01-01 19:30:00
1672602300000,245.230,245.27,244.95,245.13,5806.03,1672603199999,1423201.54020,1888,1850.61,453618.99350,0,2023-01-01 19:45:00
1672603200000,245.130,245.36,245.12,245.32,3442.82,1672604099999,844322.90570,1486,1869.14,458409.42360,0,2023-01-01 20:00:00
1672604100000,245.310,245.78,245.31,245.66,9157.66,1672604999999,2248789.39350,2647,5653.64,1388457.86760,0,2023-01-01 20:15:00
1672605000000,245.670,245.81,245.34,245.38,10689.48,1672605899999,2625870.87870,2457,4136.28,1016338.39880,0,2023-01-01 20:30:00
1672605900000,245.400,245.48,245.13,245.15,4479.09,1672606799999,1098847.29270,1367,1605.55,393933.21760,0,2023-01-01 20:45:00
1672606800000,245.150,245.26,244.84,245.16,5988.31,1672607699999,1467537.34320,2217,2611.63,640044.14640,0,2023-01-01 21:00:00
1672607700000,245.160,245.3,245.04,245.21,2685.81,1672608599999,658492.22930,1141,1378.77,338031.69180,0,2023-01-01 21:15:00
1672608600000,245.210,245.22,245.05,245.05,1819.61,1672609499999,446046.91080,933,816.95,200262.71650,0,2023-01-01 21:30:00
1672609500000,245.060,245.11,244.98,245.02,2492.24,1672610399999,610739.78150,902,1123.99,275453.36020,0,2023-01-01 21:45:00
1672610400000,245.020,245.1,244.57,244.65,5932.95,1672611299999,1452610.55620,2153,2779.86,680709.41920,0,2023-01-01 22:00:00
1672611300000,244.650,244.81,244.59,244.8,3000.17,1672612199999,734191.55020,1254,1959.36,479505.04790,0,2023-01-01 22:15:00
