open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,datetime
1672531200000,246.110,246.59,245.27,245.58,54827.79,1672534799999,13477938.98410,14740,23725.92,5833413.99500,0,2023-01-01 00:00:00
1672534800000,245.570,245.88,245.34,245.82,25894.31,1672538399999,6360401.50390,8277,13263.26,3257831.42750,0,2023-01-01 01:00:00
1672538400000,245.810,245.81,245.11,245.31,24809.81,1672541999999,6089236.03100,9011,11193.81,2747454.68810,0,2023-01-01 02:00:00
1672542000000,245.300,245.47,245.02,245.15,29035.71,1672545599999,7119694.88830,9161,15423.46,3782049.17480,0,2023-01-01 03:00:00
1672545600000,245.150,245.22,243.5,243.67,75142.03,1672549199999,18355972.29210,20805,32640.31,7972213.23570,0,2023-01-01 04:00:00
1672549200000,243.670,244.31,243.3,244.02,60872.53,1672552799999,14842279.30260,16106,32093.08,7825751.12360,0,2023-01-01 05:00:00
1672552800000,244.020,244.33,243.81,243.84,30249.09,1672556399999,7382965.57610,10709,13818.73,3372896.49730,0,2023-01-01 06:00:00
1672556400000,243.840,244.16,243.6,243.91,34331.98,1672559999999,8372490.68790,10127,16931.63,4129075.23230,0,2023-01-01 07:00:00
1672560000000,243.910,243.99,243.25,243.44,30700.21,1672563599999,7481060.81650,10216,13834.18,3371257.51380,0,2023-01-01 08:00:00
1672563600000,243.430,244.38,243.32,244.35,33655.80,1672567199999,8207478.94570,10360,19998.33,4877217.86540,0,2023-01-01 09:00:00
1672567200000,244.360,244.38,243.88,244.28,20722.62,1672570799999,5058878.33610,7511,10646.09,2598931.86280,0,2023-01-01 10:00:00
1672570800000,244.280,244.54,244.08,244.3,23245.08,1672574399999,5677457.87920,8005,12020.86,2936182.24910,0,2023-01-01 11:00:00
1672574400000,244.300,244.56,244.0,244.19,23231.77,1672577999999,5675523.19460,8595,10104.26,2468790.70970,0,2023-01-01 12:00:00
1672578000000,244.200,244.45,243.84,244.13,31168.34,1672581599999,7608954.36030,10002,15569.57,3800679.63070,0,2023-01-01 13:00:00
1672581600000,244.130,244.34,243.89,243.93,19256.51,1672585199999,4700847.72670,7153,9270.57,2263132.41630,0,2023-01-01 14:00:00
1672585200000,243.920,244.67,243.92,244.48,23821.25,1672588799999,5817604.37150,7396,13710.54,3348080.21260,0,2023-01-01 15:00:00
1672588800000,244.490,244.98,244.26,244.8,33403.95,1672592399999,8172993.30870,10592,18182.83,4449064.72640,0,2023-01-01 16:00:00
1672592400000,244.800,245.49,244.74,245.34,43064.66,1672595999999,10555688.50010,12729,25823.87,6329845.79020,0,2023-01-01 17:00:00
1672596000000,245.340,245.65,244.68,244.73,34813.88,1672599599999,8537395.21830,11800,15412.59,3780213.58680,0,2023-01-01 18:00:00
1672599600000,244.730,245.63,244.72,245.13,27652.91,1672603199999,6783364.10790,8386,12375.60,3035345.88700,0,2023-01-01 19:00:00
1672603200000,245.130,245.81,245.12,245.15,27769.05,1672606799999,6817830.47060,7957,13264.61,3257138.90760,0,2023-01-01 20:00:00
1672606800000,245.150,245.3,244.84,245.02,12985.97,1672610399999,3182816.26480,5193,5931.34,1453791.91490,0,2023-01-01 21:00:00
1672610400000,245.020,245.1,244.57,244.6,16273.40,1672613999999,3984012.14930,6204,8283.34,2028059.05890,0,2023-01-01 22:00:00
1672614000000,244.600,244.79,243.54,244.36,56224.73,1672617599999,13722698.36290,15391,25866.92,6313889.31270,0,2023-01-01 23:00:00
1672617600000,244.350,244.48,243.41,243.44,40752.65,1672621199999,9935951.90580,11657,19001.65,4633341.76120,0,2023-01-02 00:00:00
1672621200000,243.450,243.61,240.4,242.03,229352.72,1672624799999,55492281.00295,52286,97422.68,23568040.44830,0,2023-01-02 01:00:00
1672624800000,242.030,242.69,241.52,242.34,47666.66,1672628399999,11545883.38760,13715,24500.30,5934464.00640,0,2023-01-02 02:00:00
1672628400000,242.340,244.0,242.27,243.67,53129.67,1672631999999,12920307.16310,15791,29165.61,7094080.09080,0,2023-01-02 03:00:00
1672632000000,243.670,243.79,242.82,243.33,39662.12,1672635599999,9649537.52060,12369,19029.63,4629972.83990,0,2023-01-02 04:00:00
1672635600000,243.340,244.3,243.33,243.84,33774.80,1672639199999,8233507.47290,10719,19106.52,4658203.43400,0,2023-01-02 05:00:00
1672639200000,243.840,244.29,243.44,243.87,40929.49,1672642799999,9980454.92110,11074,19325.49,4713068.54790,0,2023-01-02 06:00:00
1672642800000,243.870,247.0,243.68,246.26,232963.95,1672646399999,57289445.73692,59091,129211.69,31772745.59582,0,2023-01-02 07:00:00
1672646400000,246.260,247.3,246.25,246.88,109340.22,1672649999999,26999980.63640,29529,56138.15,13863314.06660,0,2023-01-02 08:00:00
1672650000000,246.890,247.88,246.28,246.62,105571.74,1672653599999,26102400.60030,24846,52449.58,12970426.71300,0,2023-01-02 09:00:00
1672653600000,246.610,247.42,246.28,246.82,47464.67,1672657199999,11718696.99940,14452,23147.17,5714997.84250,0,2023-01-02 10:00:00
1672657200000,246.820,246.89,246.06,246.72,44915.11,1672660799999,11071308.22590,12765,19602.44,4832172.08530,0,2023-01-02 11:00:00
1672660800000,246.730,247.47,246.73,246.98,48598.32,1672664399999,12008430.25360,13497,26567.34,6564705.96440,0,2023-01-02 12:00:00
1672664400000,246.990,247.3,246.01,246.47,51955.46,1672667999999,12808397.92410,13730,23274.80,5738114.88320,0,2023-01-02 13:00:00
1672668000000,246.470,246.66,245.84,246.34,40949.01,1672671599999,10082537.64120,12120,18569.25,4572673.96180,0,2023-01-02 14:00:00
1672671600000,246.330,247.18,245.91,246.85,53953.99,1672675199999,13306799.71880,15076,31374.47,7738333.98750,0,2023-01-02 15:00:00
1672675200000,246.840,247.05,246.04,246.06,37988.35,1672678799999,9368938.60180,11624,16893.13,4167139.43740,0,2023-01-02 16:00:00
1672678800000,246.050,246.56,246.05,246.43,18832.95,1672682399999,4637672.56930,7359,9929.21,2445172.64140,0,2023-01-02 17:00:00
1672682400000,246.430,246.63,246.15,246.46,22265.76,1672685999999,5487565.03790,7257,11081.38,2731219.57770,0,2023-01-02 18:00:00
1672686000000,246.460,246.63,246.08,246.5,18943.33,1672689599999,4666886.57110,6622,9984.22,2459672.39940,0,2023-01-02 19:00:00
1672689600000,246.510,247.23,246.1,247.14,29866.59,1672693199999,7371500.86870,9791,16658.17,4111441.11880,0,2023-01-02 20:00:00
1672693200000,247.130,247.73,246.81,247.13,31467.87,1672696799999,7778936.70700,9834,17814.97,4404761.26040,0,2023-01-02 21:00:00
1672696800000,247.120,247.34,245.89,245.94,29848.85,1672700399999,7360234.87420,12089,12082.13,2979621.78080,0,2023-01-02 22:00:00
1672700400000,245.940,246.46,244.95,245.07,65940.78,1672703999999,16196673.76490,20494,28459.29,6991768.27460,0,2023-01-02 23:00:00
1672704000000,245.060,245.97,244.72,245.7,43187.54,1672707599999,10597979.16310,14679,20079.69,4927623.89590,0,2023-01-03 00:00:00
1672707600000,245.690,245.69,244.63,245.21,40626.34,1672711199999,9955002.29170,14425,21233.00,5202864.65750,0,2023-01-03 01:00:00
1672711200000,245.200,245.59,245.08,245.29,21337.08,1672714799999,5235975.55950,7584,8602.90,2110864.29000,0,2023-01-03 02:00:00
1672714800000,245.280,245.83,245.1,245.71,23429.31,1672718399999,5752075.57710,8010,12280.53,3015035.09800,0,2023-01-03 03:00:00
1672718400000,245.720,245.81,245.13,245.17,20138.78,1672721999999,4943647.79990,7265,9516.68,2335859.17660,0,2023-01-03 04:00:00
1672722000000,245.170,246.43,245.1,246.28,40480.63,1672725599999,9950571.12180,11507,22995.24,5652764.25810,0,2023-01-03 05:00:00
1672725600000,246.280,246.9,245.91,246.15,54250.26,1672729199999,13369615.71220,15819,28042.12,6910684.09730,0,2023-01-03 06:00:00
1672729200000,246.140,246.31,245.73,246.14,25652.88,1672732799999,6311936.13490,9294,13104.74,3224486.12160,0,2023-01-03 07:00:00
1672732800000,246.140,246.33,245.3,245.76,33455.32,1672736399999,8221510.31730,11214,15226.36,3741909.75030,0,2023-01-03 08:00:00
1672736400000,245.770,246.49,245.66,246.29,33401.22,1672739999999,8220144.97720,10132,18863.84,4642608.65720,0,2023-01-03 09:00:00
1672740000000,246.280,246.44,245.3,245.64,43853.77,1672743599999,10779254.99580,11705,21612.76,5312527.35400,0,2023-01-03 10:00:00
1672743600000,245.640,246.29,245.2,245.48,43368.16,1672747199999,10657048.65910,11294,21679.70,5327249.87870,0,2023-01-03 11:00:00
1672747200000,245.470,245.71,244.89,245.26,40761.53,1672750799999,9998109.02930,11479,18844.28,4622268.38700,0,2023-01-03 12:00:00
1672750800000,245.250,245.6,244.84,245.28,42370.43,1672754399999,10390188.84270,12353,20176.30,4948638.88000,0,2023-01-03 13:00:00
1672754400000,245.290,246.26,244.02,244.72,107923.95,1672757999999,26483845.40410,28611,48484.31,11901792.51080,0,2023-01-03 14:00:00
1672758000000,244.720,245.54,244.42,245.28,78671.95,1672761599999,19272086.22400,21929,40061.29,9813706.09830,0,2023-01-03 15:00:00
1672761600000,245.270,245.84,244.3,244.58,54832.18,1672765199999,13436261.97250,16699,27085.95,6638061.39580,0,2023-01-03 16:00:00
1672765200000,244.570,245.2,244.53,245.2,25521.65,1672768799999,6250296.71060,10402,13543.00,3316756.54360,0,2023-01-03 17:00:00
1672768800000,245.200,245.3,244.54,245.06,31718.27,1672772399999,7769828.73020,11145,14561.74,3567645.71550,0,2023-01-03 18:00:00
1672772400000,245.060,245.48,244.71,245.19,23162.13,1672775999999,5678440.60680,8475,11491.17,2817187.26420,0,2023-01-03 19:00:00
1672776000000,245.180,245.56,245.03,245.39,22500.87,1672779599999,5519777.03320,8743,11492.46,2819397.94860,0,2023-01-03 20:00:00
1672779600000,245.390,245.78,245.3,245.77,19672.38,1672783199999,4830093.57710,6877,11275.06,2768438.42910,0,2023-01-03 21:00:00
1672783200000,245.770,245.98,245.4,245.77,19528.30,1672786799999,4797763.89560,7753,9891.79,2430353.03380,0,2023-01-03 22:00:00
1672786800000,245.770,246.19,245.77,245.97,27774.40,1672790399999,6832580.98630,9952,14933.63,3673560.22970,0,2023-01-03 23:00:00
1672790400000,245.970,246.17,245.47,245.82,27194.76,1672793999999,6685654.17780,8942,14130.93,3473955.77270,0,2023-01-04 00:00:00
1672794000000,245.820,247.32,245.81,246.27,91582.74,1672797599999,22580204.73970,24269,54762.69,13502732.97430,0,2023-01-04 01:00:00
1672797600000,246.280,252.72,246.27,251.11,285572.73,1672801199999,71334796.45149,74343,169812.36,42413408.87339,0,2023-01-04 02:00:00
1672801200000,251.100,258.71,251.1,257.02,428585.67,1672804799999,109664132.27339,114587,228108.54,58339397.50559,0,2023-01-04 03:00:00
1672804800000,257.020,257.27,255.22,255.54,108598.53,1672808399999,27819336.83270,29113,51687.92,13241597.81630,0,2023-01-04 04:00:00
1672808400000,255.530,255.7,254.64,255.02,76738.63,1672811999999,19574566.94200,20011,37594.94,9589602.59130,0,2023-01-04 05:00:00
1672812000000,255.030,255.09,253.59,254.89,87013.59,1672815599999,22124086.40810,22823,44311.85,11267239.08510,0,2023-01-04 06:00:00
1672815600000,254.890,255.58,254.15,255.03,55226.83,1672819199999,14077993.93890,16823,28736.28,7325986.67230,0,2023-01-04 07:00:00
1672819200000,255.020,256.14,253.86,254.93,83947.35,1672822799999,21402215.41030,23515,42408.04,10814554.03930,0,2023-01-04 08:00:00
1672822800000,254.930,255.34,254.56,254.8,32709.03,1672826399999,8340665.59840,11915,15899.87,4054488.31850,0,2023-01-04 09:00:00
1672826400000,254.790,255.11,254.09,254.79,45610.97,1672829999999,11611783.95350,13826,21123.35,5377496.87850,0,2023-01-04 10:00:00
1672830000000,254.790,254.93,254.42,254.75,23902.73,1672833599999,6088474.69190,9153,12227.44,3114623.61670,0,2023-01-04 11:00:00
1672833600000,254.750,255.91,254.65,254.85,58774.25,1672837199999,14995497.68340,17317,29348.07,7488810.51080,0,2023-01-04 12:00:00
1672837200000,254.860,255.76,254.75,255.35,30090.77,1672840799999,7679251.61720,10819,15521.08,3961271.56310,0,2023-01-04 13:00:00
1672840800000,255.370,256.12,254.79,255.46,50820.69,1672844399999,12978054.25390,18355,26566.47,6785506.80930,0,2023-01-04 14:00:00
1672844400000,255.460,257.3,253.78,256.83,131429.85,1672847999999,33595017.06680,39309,65178.84,16666708.98380,0,2023-01-04 15:00:00
1672848000000,256.840,259.95,255.82,257.38,289409.12,1672851599999,74749338.93640,76576,149764.87,38679801.41850,0,2023-01-04 16:00:00
1672851600000,257.390,260.9,256.93,259.44,187239.55,1672855199999,48568259.00920,53553,100173.59,25984170.20420,0,2023-01-04 17:00:00
1672855200000,259.450,260.65,258.92,259.16,117845.63,1672858799999,30629169.65770,33492,58045.12,15087095.53680,0,2023-01-04 18:00:00
1672858800000,259.130,259.9,256.23,257.53,158573.78,1672862399999,40883291.91153,50704,74401.54,19185759.51630,0,2023-01-04 19:00:00
1672862400000,257.540,257.58,254.7,255.62,91049.71,1672865999999,23310198.08000,28814,43975.51,11257664.24410,0,2023-01-04 20:00:00
