open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,datetime
1672531200000,0.070220,0.07033,0.06983,0.06984,85257532,1672532099999,5972605.406240,5655,34393696,2409273.773160,0,2023-01-01 00:00:00
1672532100000,0.069830,0.07002,0.06966,0.07,84640185,1672532999999,5908648.186650,6070,42870278,2993097.709980,0,2023-01-01 00:15:00
1672533000000,0.069990,0.07001,0.06933,0.06967,152094402,1672533899999,10584727.415100,9719,73304194,5101493.004660,0,2023-01-01 00:30:00
1672533900000,0.069660,0.06994,0.06965,0.06977,43899856,1672534799999,3064155.982890,3558,22339350,1559352.045970,0,2023-01-01 00:45:00
1672534800000,0.069770,0.06982,0.06958,0.06963,41930443,1672535699999,2922111.500370,3255,19478825,1357540.695820,0,2023-01-01 01:00:00
1672535700000,0.069630,0.0697,0.06956,0.06959,33665336,1672536599999,2343988.359020,2649,19489673,1357036.533530,0,2023-01-01 01:15:00
1672536600000,0.069580,0.06974,0.06947,0.06969,50343087,1672537499999,3503480.426000,3622,27217101,1894342.480590,0,2023-01-01 01:30:00
1672537500000,0.069690,0.07005,0.06967,0.0699,52588778,1672538399999,3675239.025170,3856,32953934,2302918.996610,0,2023-01-01 01:45:00
1672538400000,0.069910,0.07033,0.06975,0.07033,51743044,1672539299999,3620467.015080,4291,31780385,2224808.874260,0,2023-01-01 02:00:00
1672539300000,0.070330,0.07038,0.07002,0.07012,65249645,1672540199999,4577977.215530,4518,29512119,2070834.401250,0,2023-01-01 02:15:00
1672540200000,0.070130,0.07019,0.06986,0.06987,54693980,1672541099999,3830109.434480,3461,20741929,1452690.503090,0,2023-01-01 02:30:00
1672541100000,0.069870,0.06996,0.06979,0.0698,31655024,1672541999999,2211674.894560,2314,15519375,1084394.515940,0,2023-01-01 02:45:00
1672542000000,0.069810,0.0699,0.06969,0.06979,38288338,1672542899999,2671997.947530,3212,21479663,1499119.267730,0,2023-01-01 03:00:00
1672542900000,0.069780,0.06979,0.06955,0.0696,59314438,1672543799999,4131479.096160,4039,24636314,1716188.012080,0,2023-01-01 03:15:00
1672543800000,0.069600,0.06979,0.06957,0.06974,38743967,1672544699999,2701320.920030,2651,20592090,1435579.917810,0,2023-01-01 03:30:00
1672544700000,0.069740,0.06984,0.06965,0.06981,32705956,1672545599999,2281446.670060,2375,19229980,1341461.752760,0,2023-01-01 03:45:00
1672545600000,0.069820,0.06985,0.06945,0.06954,62024583,1672546499999,4321902.636990,4248,26483617,1845599.630330,0,2023-01-01 04:00:00
1672546500000,0.069540,0.06961,0.06932,0.06953,72281595,1672547399999,5022506.867880,4810,34955837,2429199.804460,0,2023-01-01 04:15:00
1672547400000,0.069520,0.06959,0.06916,0.06926,64305123,1672548299999,4460842.068100,4697,24734898,1716510.962610,0,2023-01-01 04:30:00
1672548300000,0.069260,0.06933,0.06904,0.06917,74448519,1672549199999,5151536.935550,5695,37262428,2578636.719500,0,2023-01-01 04:45:00
1672549200000,0.069170,0.06935,0.06911,0.06918,41194918,1672550099999,2852474.842960,3806,21902828,1516744.771950,0,2023-01-01 05:00:00
1672550100000,0.069180,0.06939,0.06907,0.06937,33269125,1672550999999,2302578.247130,2959,18235172,1262248.282530,0,2023-01-01 05:15:00
1672551000000,0.069370,0.06943,0.06922,0.0693,28557026,1672551899999,1979195.899860,2383,15133600,1048899.066360,0,2023-01-01 05:30:00
1672551900000,0.069310,0.06938,0.06919,0.06934,33830885,1672552799999,2344472.534020,2687,17380801,1204609.641560,0,2023-01-01 05:45:00
1672552800000,0.069330,0.06948,0.06933,0.0694,42933182,1672553699999,2980118.535660,3427,23988066,1665068.705890,0,2023-01-01 06:00:00
1672553700000,0.069400,0.06948,0.0693,0.06938,37154874,1672554599999,2578062.811200,2726,19951180,1384503.200480,0,2023-01-01 06:15:00
1672554600000,0.069370,0.06944,0.06923,0.06936,32648864,1672555499999,2263449.748230,2566,14466766,1002969.982590,0,2023-01-01 06:30:00
1672555500000,0.069360,0.06937,0.06921,0.06925,25978879,1672556399999,1799542.375410,2354,12848146,889971.470640,0,2023-01-01 06:45:00
1672556400000,0.069260,0.06935,0.06913,0.06921,43655207,1672557299999,3021945.429250,3108,20318620,1406643.130110,0,2023-01-01 07:00:00
1672557300000,0.069210,0.06923,0.06901,0.06921,67366412,1672558199999,4656535.516690,4647,32064855,2216703.285240,0,2023-01-01 07:15:00
1672558200000,0.069200,0.06943,0.06914,0.0694,44913342,1672559099999,3112177.342610,3348,27617022,1913782.471680,0,2023-01-01 07:30:00
1672559100000,0.069410,0.06958,0.06935,0.06943,48355250,1672559999999,3358242.399600,3373,24535560,1704078.600680,0,2023-01-01 07:45:00
1672560000000,0.069420,0.06952,0.06917,0.06931,54868088,1672560899999,3805238.224570,4130,24296860,1685417.650410,0,2023-01-01 08:00:00
1672560900000,0.069310,0.06945,0.06928,0.06938,29341720,1672561799999,2035232.902850,2319,16224639,1125400.197950,0,2023-01-01 08:15:00
1672561800000,0.069370,0.06939,0.06919,0.06926,39420471,1672562699999,2730893.647150,2768,17179133,1190046.650420,0,2023-01-01 08:30:00
1672562700000,0.069250,0.06931,0.06913,0.06921,33790658,1672563599999,2338750.048940,2413,16266624,1125979.502810,0,2023-01-01 08:45:00
1672563600000,0.069210,0.06927,0.06912,0.06922,36860870,1672564499999,2550387.325330,2653,16373610,1133016.243150,0,2023-01-01 09:00:00
1672564500000,0.069220,0.0697,0.06921,0.06952,100046446,1672565399999,6952823.262820,5922,53691485,3730904.060720,0,2023-01-01 09:15:00
1672565400000,0.069520,0.06968,0.06949,0.06965,48758956,1672566299999,3392450.666740,3126,29814528,2074650.488200,0,2023-01-01 09:30:00
1672566300000,0.069650,0.06966,0.0695,0.06962,53146443,1672567199999,3698898.728800,3366,23712872,1650537.687490,0,2023-01-01 09:45:00
1672567200000,0.069620,0.06967,0.06949,0.06959,36525282,1672568099999,2540308.722890,2756,15726055,1093818.879140,0,2023-01-01 10:00:00
1672568100000,0.069590,0.06961,0.0695,0.06954,16684029,1672568999999,1160408.372140,1773,8422989,585852.265790,0,2023-01-01 10:15:00
1672569000000,0.069540,0.06955,0.06942,0.06949,30377768,1672569899999,2110754.723580,2296,13505760,938474.633760,0,2023-01-01 10:30:00
1672569900000,0.069500,0.06967,0.06943,0.06963,32528384,1672570799999,2260884.270810,2252,18318177,1273384.226260,0,2023-01-01 10:45:00
1672570800000,0.069640,0.0699,0.06962,0.06966,82214420,1672571699999,5733932.821050,5398,44916822,3132762.248640,0,2023-01-01 11:00:00
1672571700000,0.069670,0.06973,0.06954,0.06959,29347454,1672572599999,2043590.995100,2676,15030244,1046678.658270,0,2023-01-01 11:15:00
1672572600000,0.069600,0.06966,0.06956,0.06958,26828900,1672573499999,1867525.295660,2180,12362007,860575.997420,0,2023-01-01 11:30:00
1672573500000,0.069580,0.06966,0.06951,0.06962,19628069,1672574399999,1365949.737440,1871,11156925,776443.400120,0,2023-01-01 11:45:00
1672574400000,0.069630,0.06974,0.0695,0.06968,39876260,1672575299999,2775038.423720,3067,19861242,1382366.278730,0,2023-01-01 12:00:00
1672575300000,0.069680,0.06973,0.06958,0.06966,32511630,1672576199999,2264755.439000,2349,16916691,1178574.919150,0,2023-01-01 12:15:00
1672576200000,0.069670,0.06976,0.06952,0.06955,45298099,1672577099999,3153534.506140,3269,22476017,1564879.872520,0,2023-01-01 12:30:00
1672577100000,0.069550,0.06961,0.0695,0.06955,17835303,1672577999999,1240453.397360,1851,7315066,508766.799350,0,2023-01-01 12:45:00
1672578000000,0.069550,0.06964,0.06948,0.06949,33708406,1672578899999,2344781.808160,2584,16820039,1170238.970930,0,2023-01-01 13:00:00
1672578900000,0.069490,0.06956,0.06945,0.06952,28998349,1672579799999,2015383.193260,2435,14154634,983811.427320,0,2023-01-01 13:15:00
1672579800000,0.069530,0.06957,0.06939,0.06944,37178228,1672580699999,2582161.272030,3116,19031936,1321909.747210,0,2023-01-01 13:30:00
1672580700000,0.069440,0.06963,0.06942,0.06956,30159979,1672581599999,2095931.471680,2129,12899637,896608.513190,0,2023-01-01 13:45:00
1672581600000,0.069560,0.06971,0.06955,0.06966,36512312,1672582499999,2542267.838500,2766,21225155,1477901.392130,0,2023-01-01 14:00:00
1672582500000,0.069670,0.06982,0.06965,0.06974,42256605,1672583399999,2946832.734570,3359,24882110,1735108.856740,0,2023-01-01 14:15:00
1672583400000,0.069740,0.06977,0.06961,0.06962,25522207,1672584299999,1778579.726410,2206,10560431,735984.945830,0,2023-01-01 14:30:00
1672584300000,0.069610,0.06965,0.06949,0.06952,26278506,1672585199999,1828190.390500,2463,12467930,867417.781610,0,2023-01-01 14:45:00
1672585200000,0.069530,0.06963,0.06952,0.06958,23040488,1672586099999,1603267.218220,2146,12675736,882044.785130,0,2023-01-01 15:00:00
1672586100000,0.069580,0.0697,0.06948,0.06969,25486843,1672586999999,1773470.379760,2055,14327705,997115.258720,0,2023-01-01 15:15:00
1672587000000,0.069690,0.06975,0.06965,0.06967,37423914,1672587899999,2608467.325750,2223,24343011,1696761.567710,0,2023-01-01 15:30:00
1672587900000,0.069680,0.06974,0.06957,0.06972,30753836,1672588799999,2142274.893290,2388,15345284,1069017.653110,0,2023-01-01 15:45:00
1672588800000,0.069720,0.06989,0.0697,0.06977,79801679,1672589699999,5569571.818550,5044,41783465,2916103.405250,0,2023-01-01 16:00:00
1672589700000,0.069760,0.06981,0.06967,0.06979,29978880,1672590599999,2091254.501720,2517,17044460,1189071.304250,0,2023-01-01 16:15:00
1672590600000,0.069790,0.06984,0.06965,0.06971,34142564,1672591499999,2381358.974780,2746,16109948,1123661.149410,0,2023-01-01 16:30:00
1672591500000,0.069710,0.06976,0.06961,0.06964,22405612,1672592399999,1561351.178110,2197,10209287,711448.445740,0,2023-01-01 16:45:00
1672592400000,0.069640,0.0697,0.06955,0.06961,33083453,1672593299999,2302981.367180,2669,15405485,1072419.993500,0,2023-01-01 17:00:00
1672593300000,0.069600,0.07015,0.0696,0.06991,111510127,1672594199999,7797109.085310,7327,65912823,4609389.240220,0,2023-01-01 17:15:00
1672594200000,0.069910,0.06997,0.06976,0.06985,53858888,1672595099999,3762458.080930,3611,22793098,1592260.961530,0,2023-01-01 17:30:00
1672595100000,0.069860,0.06993,0.06979,0.06979,24937689,1672595999999,1742309.491120,2105,10427683,728667.418480,0,2023-01-01 17:45:00
1672596000000,0.069800,0.07041,0.06979,0.07015,106933768,1672596899999,7496133.515650,7460,64479470,4519781.008120,0,2023-01-01 18:00:00
1672596900000,0.070140,0.07047,0.07006,0.07046,87275302,1672597799999,6133750.025710,6223,51989284,3654377.177240,0,2023-01-01 18:15:00
1672597800000,0.070450,0.0708,0.07029,0.07047,133666481,1672598699999,9429909.989910,8293,68342720,4822383.347410,0,2023-01-01 18:30:00
1672598700000,0.070470,0.07047,0.07023,0.0703,39837883,1672599599999,2802040.898030,3586,16213336,1140505.056260,0,2023-01-01 18:45:00
1672599600000,0.070300,0.07038,0.07015,0.07025,52840958,1672600499999,3711850.406690,4028,24742018,1738397.000470,0,2023-01-01 19:00:00
1672600500000,0.070250,0.07054,0.07022,0.07051,59155473,1672601399999,4163492.072630,3982,34522862,2429828.356910,0,2023-01-01 19:15:00
1672601400000,0.070510,0.07056,0.07034,0.07035,35712947,1672602299999,2515423.117050,2630,14822440,1043879.210880,0,2023-01-01 19:30:00
1672602300000,0.070350,0.07036,0.07016,0.0703,43189805,1672603199999,3035320.775100,3086,15393448,1082124.493160,0,2023-01-01 19:45:00
1672603200000,0.070290,0.07038,0.07026,0.07032,19055651,1672604099999,1340011.384330,2033,10112757,711216.471840,0,2023-01-01 20:00:00
1672604100000,0.070320,0.07068,0.07032,0.07053,81667515,1672604999999,5757742.490950,4739,44902418,3165863.896570,0,2023-01-01 20:15:00
1672605000000,0.070530,0.07085,0.07048,0.07054,74255802,1672605899999,5246713.958840,5244,37747534,2667079.178200,0,2023-01-01 20:30:00
1672605900000,0.070530,0.0707,0.07033,0.07039,49995669,1672606799999,3526818.932170,3427,18851602,1330347.571880,0,2023-01-01 20:45:00
1672606800000,0.070380,0.0705,0.07024,0.07038,41855812,1672607699999,2945179.941290,3527,20623396,1451294.543370,0,2023-01-01 21:00:00
1672607700000,0.070370,0.07047,0.07025,0.07032,20387486,1672608599999,1434522.501410,1982,9842090,692522.218880,0,2023-01-01 21:15:00
1672608600000,0.070330,0.07034,0.07023,0.07025,13468156,1672609499999,946793.826460,1479,6376500,448281.499270,0,2023-01-01 21:30:00
1672609500000,0.070240,0.07041,0.07024,0.07031,24231557,1672610399999,1704056.725930,1934,12471645,877023.783280,0,2023-01-01 21:45:00
1672610400000,0.070310,0.0704,0.07021,0.07022,18207844,1672611299999,1280203.446510,2049,9661197,679382.747150,0,2023-01-01 22:00:00
1672611300000,0.070220,0.07035,0.07021,0.0703,16506678,1672612199999,1160360.113740,1719,9414311,661812.428320,0,2023-01-01 22:15:00
1672612200000,0.070300,0.07037,0.0703,0.07032,12060125,1672613099999,848317.879530,1172,6365939,447828.500310,0,2023-01-01 22:30:00
1672613100000,0.070310,0.07035,0.06988,0.0701,73789980,1672613999999,5170474.892520,4506,25864044,1811859.940920,0,2023-01-01 22:45:00
1672614000000,0.070100,0.07021,0.06995,0.07014,49674657,1672614899999,3481636.876820,3913,24950763,1748731.419010,0,2023-01-01 23:00:00
1672614900000,0.070140,0.0702,0.06995,0.07002,50047016,1672615799999,3506437.955800,3155,22259399,1559634.490660,0,2023-01-01 23:15:00
1672615800000,0.070020,0.07008,0.06986,0.06995,44435720,1672616699999,3109163.274750,3255,19019947,1330840.905740,0,2023-01-01 23:30:00
1672616700000,0.069960,0.07025,0.06992,0.0702,38328595,1672617599999,2686618.688870,3252,20867452,1462668.191540,0,2023-01-01 23:45:00
1672617600000,0.070200,0.07032,0.07004,0.0701,55598606,1672618499999,3903514.799480,4260,26978627,1894264.440440,0,2023-01-02 00:00:00
1672618500000,0.070090,0.07009,0.06985,0.06991,51320501,1672619399999,3589344.838120,4088,22999491,1608463.310020,0,2023-01-02 00:15:00
1672619400000,0.069910,0.07002,0.06973,0.06982,65442811,1672620299999,4571296.168070,4392,28714960,2006052.160180,0,2023-01-02 00:30:00
1672620300000,0.069820,0.06987,0.06974,0.0698,35612011,1672621199999,2486354.484020,2743,18748113,1309046.540890,0,2023-01-02 00:45:00
1672621200000,0.069800,0.06988,0.06901,0.0692,343859803,1672622099999,23838869.620260,19616,153196758,10620422.852620,0,2023-01-02 01:00:00
1672622100000,0.069210,0.0694,0.06903,0.06937,103350431,1672622999999,7150651.191550,7044,53860873,3727109.449240,0,2023-01-02 01:15:00
1672623000000,0.069360,0.06943,0.06921,0.06928,54094574,1672623899999,3750367.959060,3838,22588700,1566386.636280,0,2023-01-02 01:30:00
1672623900000,0.069290,0.0693,0.0691,0.06913,34683009,1672624799999,2399996.122580,2614,15541616,1075527.101880,0,2023-01-02 01:45:00
1672624800000,0.069140,0.06948,0.06905,0.06941,67018660,1672625699999,4642994.095550,4724,42340663,2933828.546610,0,2023-01-02 02:00:00
