open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,datetime
1672531200000,0.75810,0.7581,0.7536,0.7538,2781415,1672532099999,2102606.77460,3354,820282,619910.77030,0,2023-01-01 00:00:00
1672532100000,0.75380,0.7561,0.7536,0.7561,1682109,1672532999999,1269854.95750,2006,1024514,773467.83680,0,2023-01-01 00:15:00
1672533000000,0.75600,0.7561,0.7504,0.7513,5503627,1672533899999,4139606.44830,6263,1874857,1410091.39310,0,2023-01-01 00:30:00
1672533900000,0.75130,0.7523,0.7496,0.7502,3719010,1672534799999,2791676.86300,3577,1260572,946450.96440,0,2023-01-01 00:45:00
1672534800000,0.75020,0.7504,0.7479,0.7497,4500243,1672535699999,3371402.80950,5324,1682898,1260905.80220,0,2023-01-01 01:00:00
1672535700000,0.74970,0.751,0.7491,0.7505,1817613,1672536599999,1363473.46020,2810,951797,713960.27440,0,2023-01-01 01:15:00
1672536600000,0.75050,0.7506,0.7485,0.7493,2284424,1672537499999,1711455.41940,2640,1128661,845513.15050,0,2023-01-01 01:30:00
1672537500000,0.74920,0.7533,0.7492,0.7527,2601609,1672538399999,1955634.51120,3125,1755487,1319669.87090,0,2023-01-01 01:45:00
1672538400000,0.75260,0.7528,0.7509,0.7526,1448173,1672539299999,1088678.47050,1933,740760,556894.72160,0,2023-01-01 02:00:00
1672539300000,0.75270,0.7538,0.7521,0.7537,1284878,1672540199999,967534.21360,1644,692783,521736.26770,0,2023-01-01 02:15:00
1672540200000,0.75360,0.755,0.7531,0.7532,1512852,1672541099999,1140765.25540,1897,900896,679343.69100,0,2023-01-01 02:30:00
1672541100000,0.75320,0.7542,0.7524,0.7525,864302,1672541999999,651097.56290,1269,429493,323588.45180,0,2023-01-01 02:45:00
1672542000000,0.75250,0.7525,0.7508,0.751,1583036,1672542899999,1189943.96160,2325,708913,532942.19490,0,2023-01-01 03:00:00
1672542900000,0.75100,0.7514,0.7497,0.7512,1455083,1672543799999,1091971.09250,2191,738778,554488.94080,0,2023-01-01 03:15:00
1672543800000,0.75110,0.7525,0.7507,0.752,837333,1672544699999,629344.85250,1556,511803,384699.35150,0,2023-01-01 03:30:00
1672544700000,0.75200,0.7523,0.7508,0.7517,727496,1672545599999,546660.36610,1392,421477,316692.65210,0,2023-01-01 03:45:00
1672545600000,0.75160,0.7523,0.7499,0.7499,1633063,1672546499999,1226336.04820,2138,810803,608893.22550,0,2023-01-01 04:00:00
1672546500000,0.75000,0.7504,0.7484,0.7485,2212202,1672547399999,1657468.68020,2472,740357,554787.86550,0,2023-01-01 04:15:00
1672547400000,0.74850,0.7499,0.7484,0.7488,1603975,1672548299999,1201434.71810,1704,805313,603253.20070,0,2023-01-01 04:30:00
1672548300000,0.74880,0.7488,0.7471,0.748,2446555,1672549199999,1829970.95950,3046,934614,699147.05690,0,2023-01-01 04:45:00
1672549200000,0.74810,0.7493,0.7473,0.7488,1300870,1672550099999,973652.14310,2486,718620,537896.67060,0,2023-01-01 05:00:00
1672550100000,0.74870,0.7512,0.7486,0.7511,1976310,1672550999999,1482293.94230,2649,1386302,1039771.30050,0,2023-01-01 05:15:00
1672551000000,0.75120,0.7515,0.7502,0.7512,1205429,1672551899999,905134.53430,2125,578971,434712.95820,0,2023-01-01 05:30:00
1672551900000,0.75120,0.7517,0.7505,0.7509,846416,1672552799999,635826.81410,1459,348145,261532.40700,0,2023-01-01 05:45:00
1672552800000,0.75090,0.7529,0.7509,0.7527,1658422,1672553699999,1247228.58410,2073,1076970,809918.04970,0,2023-01-01 06:00:00
1672553700000,0.75270,0.7533,0.7518,0.7529,1308140,1672554599999,984681.71860,1631,647099,487087.47760,0,2023-01-01 06:15:00
1672554600000,0.75290,0.7537,0.7517,0.7527,1480590,1672555499999,1114218.05270,1639,595244,447954.70750,0,2023-01-01 06:30:00
1672555500000,0.75270,0.753,0.7515,0.7528,945088,1672556399999,710967.61460,1192,415511,312598.53330,0,2023-01-01 06:45:00
1672556400000,0.75280,0.7533,0.7516,0.7524,1112671,1672557299999,837068.40760,1323,551726,415059.62340,0,2023-01-01 07:00:00
1672557300000,0.75230,0.7525,0.7498,0.7523,2019547,1672558199999,1516957.66370,2263,1057036,793950.16860,0,2023-01-01 07:15:00
1672558200000,0.75220,0.7526,0.7511,0.7524,1204276,1672559099999,905437.45880,1445,618287,464876.64610,0,2023-01-01 07:30:00
1672559100000,0.75240,0.7532,0.7522,0.7527,813907,1672559999999,612653.90670,1308,395763,297915.71510,0,2023-01-01 07:45:00
1672560000000,0.75270,0.7534,0.7518,0.7521,808349,1672560899999,608474.50320,1511,404162,304239.60470,0,2023-01-01 08:00:00
1672560900000,0.75220,0.7533,0.7519,0.7533,789659,1672561799999,594357.90640,1255,461925,347677.89500,0,2023-01-01 08:15:00
1672561800000,0.75320,0.7536,0.7524,0.7528,926546,1672562699999,697654.45450,1370,360226,271247.26420,0,2023-01-01 08:30:00
1672562700000,0.75270,0.7544,0.7526,0.7538,1133182,1672563599999,853991.50500,1660,710727,535586.90550,0,2023-01-01 08:45:00
1672563600000,0.75380,0.7539,0.752,0.7529,1097040,1672564499999,825786.25000,1746,483413,363881.25220,0,2023-01-01 09:00:00
1672564500000,0.75290,0.7547,0.7527,0.7537,1110634,1672565399999,837049.69560,1564,619828,467153.53200,0,2023-01-01 09:15:00
1672565400000,0.75380,0.7557,0.7537,0.7556,1241340,1672566299999,936955.63860,1812,785616,593006.74300,0,2023-01-01 09:30:00
1672566300000,0.75560,0.7565,0.7547,0.7563,1504867,1672567199999,1137310.78020,2012,966671,730615.75720,0,2023-01-01 09:45:00
1672567200000,0.75630,0.7569,0.7555,0.7566,1873719,1672568099999,1416991.01780,2043,940824,711494.35000,0,2023-01-01 10:00:00
1672568100000,0.75670,0.7571,0.7562,0.7567,834202,1672568999999,631201.97500,1380,427548,323524.28550,0,2023-01-01 10:15:00
1672569000000,0.75680,0.7569,0.7544,0.7548,1642351,1672569899999,1240423.57990,1960,585973,442601.70520,0,2023-01-01 10:30:00
1672569900000,0.75470,0.7557,0.7545,0.7557,680235,1672570799999,513501.85240,1117,406968,307247.66530,0,2023-01-01 10:45:00
1672570800000,0.75570,0.7579,0.7557,0.7569,2338697,1672571699999,1770088.81210,2377,1353683,1024640.28710,0,2023-01-01 11:00:00
1672571700000,0.75690,0.757,0.7553,0.7553,1104177,1672572599999,835027.28150,1380,482065,364592.92050,0,2023-01-01 11:15:00
1672572600000,0.75540,0.7574,0.7553,0.7568,1008296,1672573499999,762810.41240,1372,600823,454526.15950,0,2023-01-01 11:30:00
1672573500000,0.75670,0.7571,0.756,0.7567,582962,1672574399999,441045.79390,1098,230250,174218.81580,0,2023-01-01 11:45:00
1672574400000,0.75670,0.7594,0.7567,0.7588,3146290,1672575299999,2384923.78270,3690,2115616,1603780.91480,0,2023-01-01 12:00:00
1672575300000,0.75880,0.7594,0.7581,0.7583,1687186,1672576199999,1280125.70090,2212,784464,595255.95290,0,2023-01-01 12:15:00
1672576200000,0.75830,0.7588,0.7569,0.7572,1697161,1672577099999,1285900.91830,1827,738827,559778.82970,0,2023-01-01 12:30:00
1672577100000,0.75720,0.7583,0.7566,0.7567,1693379,1672577999999,1282220.09440,1829,632648,479103.14240,0,2023-01-01 12:45:00
1672578000000,0.75680,0.7574,0.7556,0.7556,1649884,1672578899999,1248564.32970,1971,743458,562740.54030,0,2023-01-01 13:00:00
1672578900000,0.75560,0.756,0.7547,0.7553,1344019,1672579799999,1015324.53700,2000,667423,504253.71560,0,2023-01-01 13:15:00
1672579800000,0.75520,0.7557,0.7533,0.7536,2213829,1672580699999,1669651.08360,2554,997853,752671.12000,0,2023-01-01 13:30:00
1672580700000,0.75360,0.7553,0.7534,0.7552,1163265,1672581599999,877556.50400,1482,648833,489492.28280,0,2023-01-01 13:45:00
1672581600000,0.75530,0.7564,0.755,0.7558,1269004,1672582499999,958980.66970,1938,662712,500819.71180,0,2023-01-01 14:00:00
1672582500000,0.75580,0.7559,0.755,0.7555,662764,1672583399999,500656.64640,1206,217276,164130.26410,0,2023-01-01 14:15:00
1672583400000,0.75540,0.7561,0.7547,0.7548,670008,1672584299999,506215.90200,1314,298853,225805.24830,0,2023-01-01 14:30:00
1672584300000,0.75490,0.755,0.7539,0.7543,1064693,1672585199999,803181.51250,1571,439232,331342.65950,0,2023-01-01 14:45:00
1672585200000,0.75420,0.7561,0.7541,0.7558,862081,1672586099999,651179.37530,1653,511843,386623.25080,0,2023-01-01 15:00:00
1672586100000,0.75570,0.7559,0.7541,0.7552,867546,1672586999999,654809.02370,1711,373950,282223.75900,0,2023-01-01 15:15:00
1672587000000,0.75530,0.7577,0.7553,0.7575,1372495,1672587899999,1038643.91840,2166,882839,668063.98730,0,2023-01-01 15:30:00
