open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,datetime
1672531200000,9.9680,10.016,9.923,9.979,2192047,1672534799999,21859206.6960,33866,1132157,11290414.6350,0,2023-01-01 00:00:00
1672534800000,9.9800,10.06,9.97,10.032,1386948,1672538399999,13905881.8540,23036,703669,7056251.8230,0,2023-01-01 01:00:00
1672538400000,10.0310,10.074,9.981,10.006,1048577,1672541999999,10514183.9850,19298,531650,5331473.8620,0,2023-01-01 02:00:00
1672542000000,10.0050,10.005,9.894,9.957,1629822,1672545599999,16210752.7570,27628,822714,8182824.8600,0,2023-01-01 03:00:00
1672545600000,9.9570,9.978,9.81,9.837,1883235,1672549199999,18602138.1060,28394,763989,7545728.3840,0,2023-01-01 04:00:00
1672549200000,9.8370,9.847,9.711,9.786,2179065,1672552799999,21299943.7830,33161,1056949,10332076.1220,0,2023-01-01 05:00:00
1672552800000,9.7870,9.836,9.754,9.783,1164816,1672556399999,11410885.6580,18387,634816,6220031.5330,0,2023-01-01 06:00:00
1672556400000,9.7840,9.789,9.678,9.782,1753049,1672559999999,17083642.9080,25350,881668,8593922.3970,0,2023-01-01 07:00:00
1672560000000,9.7820,9.786,9.693,9.719,1441280,1672563599999,14031203.7700,20476,681950,6639102.3600,0,2023-01-01 08:00:00
1672563600000,9.7180,9.81,9.717,9.8,1225030,1672567199999,11965495.8410,16753,658540,6433011.2540,0,2023-01-01 09:00:00
1672567200000,9.8000,9.8,9.761,9.795,704478,1672570799999,6892017.9910,11559,339340,3319927.3120,0,2023-01-01 10:00:00
1672570800000,9.7940,9.975,9.794,9.915,3249968,1672574399999,32183673.7870,38467,1632559,16164126.1590,0,2023-01-01 11:00:00
1672574400000,9.9160,9.944,9.87,9.929,990377,1672577999999,9808614.4800,14915,499231,4945170.1750,0,2023-01-01 12:00:00
1672578000000,9.9300,9.955,9.813,9.842,1616056,1672581599999,15951011.9530,20777,752075,7422119.3940,0,2023-01-01 13:00:00
1672581600000,9.8420,9.887,9.8,9.828,1893049,1672585199999,18619033.4650,19490,968407,9524799.3120,0,2023-01-01 14:00:00
1672585200000,9.8280,9.857,9.781,9.848,1060878,1672588799999,10417777.0290,13389,499404,4905897.2930,0,2023-01-01 15:00:00
1672588800000,9.8490,9.909,9.821,9.855,1127073,1672592399999,11115591.2800,16692,586448,5784822.6320,0,2023-01-01 16:00:00
1672592400000,9.8550,9.945,9.852,9.93,1202063,1672595999999,11911192.8670,17193,638404,6326194.7990,0,2023-01-01 17:00:00
1672596000000,9.9300,10.019,9.93,9.975,1799473,1672599599999,17961037.6570,25225,970061,9682309.3280,0,2023-01-01 18:00:00
1672599600000,9.9760,10.04,9.919,9.945,1192955,1672603199999,11906283.3750,17613,574989,5741974.1750,0,2023-01-01 19:00:00
1672603200000,9.9450,10.023,9.926,9.959,900796,1672606799999,8989843.5410,15000,482375,4814338.9790,0,2023-01-01 20:00:00
1672606800000,9.9590,9.986,9.928,9.962,609508,1672610399999,6069872.4310,10258,284115,2829691.0380,0,2023-01-01 21:00:00
1672610400000,9.9620,10.0,9.952,9.96,480892,1672613999999,4796750.7620,8735,259908,2592523.1150,0,2023-01-01 22:00:00
1672614000000,9.9610,10.048,9.934,9.977,1257890,1672617599999,12558469.2080,18071,616261,6151531.0430,0,2023-01-01 23:00:00
1672617600000,9.9770,9.977,9.862,9.896,1002055,1672621199999,9927818.9640,17031,462093,4578337.6650,0,2023-01-02 00:00:00
1672621200000,9.8960,9.923,9.796,9.831,1813509,1672624799999,17859975.1860,26076,874368,8611398.9070,0,2023-01-02 01:00:00
1672624800000,9.8300,9.924,9.81,9.9,893841,1672628399999,8822140.0960,12950,501795,4952988.0720,0,2023-01-02 02:00:00
1672628400000,9.9000,10.008,9.87,9.977,1096942,1672631999999,10910863.2890,17760,599263,5961301.0200,0,2023-01-02 03:00:00
1672632000000,9.9770,10.02,9.942,9.965,943771,1672635599999,9409118.5110,15699,494213,4927561.8720,0,2023-01-02 04:00:00
1672635600000,9.9660,9.987,9.927,9.975,678684,1672639199999,6757504.8220,10680,371259,3696796.5760,0,2023-01-02 05:00:00
1672639200000,9.9750,9.995,9.939,9.97,654544,1672642799999,6525595.8020,10472,320850,3199161.4700,0,2023-01-02 06:00:00
1672642800000,9.9690,12.067,9.966,11.083,23493361,1672646399999,259917978.1080,363696,12815094,141710620.2660,0,2023-01-02 07:00:00
1672646400000,11.0840,11.36,10.991,11.178,9664161,1672649999999,108284562.8240,170369,5135833,57553497.6310,0,2023-01-02 08:00:00
1672650000000,11.1780,11.244,11.031,11.137,4782737,1672653599999,53231767.8030,86223,2508654,27925453.1110,0,2023-01-02 09:00:00
1672653600000,11.1370,11.138,10.832,11.047,5809718,1672657199999,63933607.5870,92150,2987420,32875520.7360,0,2023-01-02 10:00:00
1672657200000,11.0470,11.049,10.9,11.007,2256854,1672660799999,24788897.8470,40064,1119983,12304053.1540,0,2023-01-02 11:00:00
1672660800000,11.0080,11.2,10.998,11.081,5024279,1672664399999,55725317.5100,65078,2437782,27040587.1000,0,2023-01-02 12:00:00
1672664400000,11.0810,11.14,11.036,11.097,2723536,1672667999999,30203041.7870,44064,1360831,15092105.7650,0,2023-01-02 13:00:00
1672668000000,11.0960,11.184,11.072,11.11,2234519,1672671599999,24856242.8540,38930,1104127,12284651.5040,0,2023-01-02 14:00:00
1672671600000,11.1100,11.234,11.054,11.108,2495029,1672675199999,27765767.5000,41753,1269939,14136069.8200,0,2023-01-02 15:00:00
1672675200000,11.1070,11.174,11.078,11.098,1427651,1672678799999,15875361.1660,26346,699078,7775352.9160,0,2023-01-02 16:00:00
1672678800000,11.0980,11.155,11.07,11.136,1182359,1672682399999,13148096.0060,21867,602653,6702457.9520,0,2023-01-02 17:00:00
1672682400000,11.1360,11.195,11.121,11.124,1008418,1672685999999,11236629.6080,19222,525092,5851599.3530,0,2023-01-02 18:00:00
1672686000000,11.1250,11.5,11.102,11.244,2977118,1672689599999,33538134.2580,49107,1588613,17903225.8020,0,2023-01-02 19:00:00
1672689600000,11.2440,11.331,11.172,11.309,2111573,1672693199999,23752557.7420,39062,1050369,11816075.6040,0,2023-01-02 20:00:00
1672693200000,11.3100,11.406,11.264,11.349,1683020,1672696799999,19057883.7330,32915,894566,10131997.9750,0,2023-01-02 21:00:00
1672696800000,11.3490,11.396,11.204,11.259,1844491,1672700399999,20824869.4990,33111,909083,10263656.6430,0,2023-01-02 22:00:00
