open_time,open,high,low,close,volume,close_time,quote_asset_volume,trades,taker_buy_base,taker_buy_quote,ignore,datetime
1672531200000,0.3389,0.3391,0.338,0.3386,17044791.2,1672532099999,5768993.31198,4877,7635987.0,2584709.96745,0,2023-01-01 00:00:00
1672532100000,0.3385,0.339,0.3383,0.3389,10610728.1,1672532999999,3593319.91516,2685,6584070.6,2229849.63857,0,2023-01-01 00:15:00
1672533000000,0.3388,0.3389,0.3376,0.3382,12853348.1,1672533899999,4345915.75091,3713,6060164.2,2049167.97392,0,2023-01-01 00:30:00
1672533900000,0.3381,0.3387,0.3381,0.3384,6984984.3,1672534799999,2363723.88999,1874,4293176.2,1452820.95584,0,2023-01-01 00:45:00
1672534800000,0.3384,0.3387,0.3382,0.3387,7260165.8,1672535699999,2457634.07287,2206,4363636.1,1477137.84117,0,2023-01-01 01:00:00
1672535700000,0.3386,0.339,0.3385,0.3387,6308365.4,1672536599999,2137459.43747,2401,3956624.9,1340662.07314,0,2023-01-01 01:15:00
1672536600000,0.3387,0.339,0.3386,0.3389,3468769.5,1672537499999,1175056.11149,1583,2117048.2,717227.08608,0,2023-01-01 01:30:00
1672537500000,0.3390,0.3391,0.3387,0.3388,4286980.6,1672538399999,1452978.81144,1893,2134067.9,723315.69091,0,2023-01-01 01:45:00
1672538400000,0.3387,0.3388,0.3382,0.3383,7620782.4,1672539299999,2578821.55140,2165,3435765.8,1162677.99430,0,2023-01-01 02:00:00
1672539300000,0.3383,0.3386,0.3367,0.3374,28472234.5,1672540199999,9607007.49955,5837,12453223.7,4201108.97090,0,2023-01-01 02:15:00
1672540200000,0.3373,0.3378,0.337,0.3375,10242403.6,1672541099999,3455946.78982,2895,4799693.2,1619441.80790,0,2023-01-01 02:30:00
1672541100000,0.3375,0.338,0.3375,0.3379,6014942.8,1672541999999,2031565.89816,2442,3121642.3,1054471.78803,0,2023-01-01 02:45:00
1672542000000,0.3378,0.3379,0.3371,0.3375,6546091.1,1672542899999,2208723.26076,2037,3395439.2,1145620.56596,0,2023-01-01 03:00:00
1672542900000,0.3376,0.3379,0.3373,0.3377,5438511.7,1672543799999,1836165.84012,1683,2730210.0,921906.79520,0,2023-01-01 03:15:00
1672543800000,0.3377,0.338,0.3376,0.3376,4918295.6,1672544699999,1661490.49903,1394,2495015.7,842920.31957,0,2023-01-01 03:30:00
1672544700000,0.3377,0.3384,0.3375,0.3381,8294572.6,1672545599999,2803417.11104,2147,5528355.0,1868353.73363,0,2023-01-01 03:45:00
1672545600000,0.3381,0.3383,0.3371,0.3372,8569264.8,1672546499999,2894488.85421,2319,3391928.5,1145977.46411,0,2023-01-01 04:00:00
1672546500000,0.3372,0.3375,0.3371,0.3373,5442959.6,1672547399999,1835926.75434,1452,2510702.7,846900.05454,0,2023-01-01 04:15:00
1672547400000,0.3372,0.3376,0.3369,0.3371,6245591.0,1672548299999,2106467.67693,1742,2793469.4,942243.43991,0,2023-01-01 04:30:00
1672548300000,0.3371,0.3372,0.3352,0.3361,21392217.2,1672549199999,7191706.84231,5671,8908108.2,2994663.59970,0,2023-01-01 04:45:00
1672549200000,0.3361,0.3362,0.3353,0.3359,14157682.8,1672550099999,4753856.45044,3437,6351407.0,2132790.68804,0,2023-01-01 05:00:00
1672550100000,0.3358,0.3364,0.3357,0.3359,7057334.6,1672550999999,2371227.62046,2258,3339678.6,1122173.67897,0,2023-01-01 05:15:00
1672551000000,0.3359,0.3361,0.3353,0.3357,8789165.5,1672551899999,2949922.39974,2879,3817197.8,1281330.41430,0,2023-01-01 05:30:00
1672551900000,0.3358,0.3368,0.3355,0.3365,10354296.6,1672552799999,3481011.81100,3156,5745385.2,1931560.24731,0,2023-01-01 05:45:00
1672552800000,0.3365,0.3368,0.3362,0.3365,7520430.5,1672553699999,2530460.95554,2650,3704474.7,1246443.15831,0,2023-01-01 06:00:00
1672553700000,0.3365,0.337,0.3364,0.3367,7768108.5,1672554599999,2615315.73877,2334,4004063.5,1348117.87373,0,2023-01-01 06:15:00
1672554600000,0.3367,0.3371,0.3364,0.3364,5550238.7,1672555499999,1869228.81931,2129,2405678.7,810296.87139,0,2023-01-01 06:30:00
